date,number_week,rank,name,symbol,market_cap,price,circulating_supply,volume,%_1h,%_24h,%_7d
2017-01-08,1,111,Bela,BELA,339251.0,0.01127,30098000,0.01127,-0.37,-1.64,-7.55
2017-01-08,1,112,Bitmark,BTM,330075.0,0.09506,3472293,0.09506,7.21,41.16,26.43
2017-01-08,1,113,Diamond,DMD,324899.0,0.1707,1903418,0.1707,-4.52,6.89,-7.47
2017-01-08,1,114,SaluS,SLS,322344.0,0.3216,1002415,0.3216,-0.16,-8.78,-32.09
2017-01-08,1,115,BoostCoin,BOST,320459.0,0.02703,11855487,0.02703,-0.03,-17.13,-26.23
2017-01-08,1,116,Zcoin,XZC,316066.0,0.409,772750,0.409,-0.28,-3.92,-16.17
2017-01-08,1,117,Riecoin,RIC,307910.0,0.01025,30036725,0.01025,0.0,0.40,5.99
2017-01-08,1,118,Ubiq,UBQ,296971.0,0.08153,3642520,0.08153,-0.14,5.09,37.42
2017-01-08,1,119,Blocknet,BLOCK,288362.0,0.07374,3910516,0.07374,-0.19,-4.67,-35.83
2017-01-08,1,120,RevolutionVR,RVR,273593.0,0.008686,31500000,0.008686,-0.66,-0.13,-16.21
2017-01-08,1,121,SACoin,SAC,263168.0,0.04004,6573177,0.04004,3.55,89.37,82.99
2017-01-08,1,122,Cryptonite,XCN,259295.0,0.001263,205328613,0.001263,-0.36,6.11,-0.73
2017-01-08,1,123,e-Gulden,EFL,255066.0,0.01693,15070107,0.01693,-0.2,-1.46,3.30
2017-01-08,1,124,Digitalcoin,DGC,252418.0,0.00734,34389793,0.00734,0.06,1.61,-0.67
2017-01-08,1,125,Myriad,XMY,249784.0,0.0001727,1446054496,0.0001727,-0.15,0.64,7.44
2017-01-08,1,126,GoldBlocks,GB,245986.0,0.018,13669273,0.018,-1.8,-13.56,-37.07
2017-01-08,1,127,Applecoin,APC,244824.0,0.01099,22286048,0.01099,0.0,-6.08,-1.16
2017-01-08,1,128,Ixcoin,IXC,229258.0,0.01092,20999088,0.01092,-0.16,66.79,90.18
2017-01-08,1,129,NuShares,NSR,222504.0,0.0001365,1630200855,0.0001365,-0.16,-3.27,-11.43
2017-01-08,1,130,vTorrent,VTR,221241.0,0.02046,10815966,0.02046,-0.16,-15.65,-25.80
2017-01-08,1,131,Unobtanium,UNO,219595.0,1.11,197573,1.11,-0.47,-1.24,-32.65
2017-01-08,1,132,UnionCoin,UNC,206132.0,0.02457,8388608,0.02457,0.0,0.00,-1.02
2017-01-08,1,133,Wild Beast Block,WBB,201886.0,0.09557,2112450,0.09557,-0.22,4.05,4.00
2017-01-08,1,134,HitCoin,HTC,200175.0,0.0000182,10996318099,0.0000182,-0.2,-14.38,-21.26
2017-01-08,1,135,StabilityShares,XSI,194151.0,0.02098,9251928,0.02098,-0.79,9.31,-19.12
2017-01-08,1,136,HunterCoin,HUC,186228.0,0.01199,15528360,0.01199,0.23,1.98,4.01
2017-01-08,1,137,Horizon,HZ,181491.0,0.000182,997285886,0.000182,-2.25,-2.93,-5.19
2017-01-08,1,138,MAZA,MAZA,180279.0,0.000165,1092618137,0.000165,-0.16,-4.79,-3.16
2017-01-08,1,139,TagCoin,TAG,168424.0,0.03325,5066045,0.03325,0.0,-4.16,-6.71
2017-01-08,1,140,SecureCoin,SRC,165079.0,0.02313,7137821,0.02313,0.0,-4.00,-4.92
2017-01-08,1,141,ZClassic,ZCL,163890.0,0.3584,457275,0.3584,-1.46,6.80,-11.10
2017-01-08,1,142,Pinkcoin,PINK,162517.0,0.0004455,364779020,0.0004455,-0.17,-5.77,-4.81
2017-01-08,1,143,PostCoin,POST,158197.0,0.0102,15514536,0.0102,-0.26,-2.79,-12.93
2017-01-08,1,144,Maxcoin,MAX,156381.0,0.002872,54442678,0.002872,-0.06,0.56,-1.69
2017-01-08,1,145,Elcoin,EL,155743.0,0.01389,11208967,0.01389,-0.13,26.79,132.03
2017-01-08,1,146,Swing,SWING,150355.0,0.08164,1841706,0.08164,-0.14,-20.99,-5.77
2017-01-08,1,147,NobleCoin,NOBL,145548.0,0.00006369,2285096029,0.00006369,-0.16,-7.79,2.69
2017-01-08,1,148,bitCNY,BITCNY,142774.0,0.1423,1003030,0.1423,-0.03,0.04,2.01
2017-01-08,1,149,Artex Coin,ATX,140878.0,0.007659,18394655,0.007659,3.74,-0.43,-20.08
2017-01-08,1,150,Virtacoin,VTA,140425.0,0.00001162,12080476668,0.00001162,-36.77,-33.89,-76.58
2017-01-08,1,151,Capricoin,CPC,135092.0,0.1532,881748,0.1532,-4.87,-6.02,-15.32
2017-01-08,1,152,Atomic Coin,ATOM,132762.0,0.01742,7619367,0.01742,-1.98,136.74,91.83
2017-01-08,1,153,bitUSD,BITUSD,109036.0,1.01,108055,1.01,-0.08,0.42,1.76
2017-01-08,1,154,WhiteCoin,XWC,108798.0,0.0003549,306584146,0.0003549,-7.32,-4.03,3.45
2017-01-08,1,155,Stress,STS,102730.0,0.0001818,565134332,0.0001818,-0.16,27.37,-35.51
